"probe_id","logFC","AveExpr","t","P.Value","adj.P.Val","B","SYMBOL"
"220951_s_at",0.0103219166666619,6.7108184,0.17675136706263,0.860414204405722,0.904283073142755,-6.90790810953505,"A1CF"
"217757_at",-1.44855523333334,11.88481726,-7.31663264343776,1.86831457798381e-09,6.36569629070537e-08,11.4038278457932,"A2M"
"219488_at",0.0128724166666663,6.3479256,0.205243179268032,0.838211347069913,0.88788697095973,-6.90241469014743,"A4GALT"
"221131_at",0.0305400666666644,6.73201044,0.832767242883995,0.408916840705499,0.532952796481291,-6.57580732736891,"A4GNT"
"218075_at",0.0632320166666673,8.02601676,1.74033493163478,0.087921800234639,0.165932199087699,-5.43858063376716,"AAAS"
"218434_s_at",0.697207799999997,7.30199968,5.00666615479239,7.19364349129887e-06,6.79220160663613e-05,3.32538437520776,"AACS"
"205969_at",-0.1716642,6.08624728,-1.07579431783012,0.287157717825672,0.410833735236562,-6.34579682834815,"AADAC"
"202852_s_at",0.282244033333334,6.69063752,3.09005497812687,0.00325875740858647,0.0116500708062783,-2.51192621360111,"AAGAB"
"214956_at",0.0735720333333312,5.69836172,1.52706756894413,0.133014986681241,0.230004473008162,-5.77256733456547,"AAK1"
"221599_at",-0.361160350000003,7.28533604,-2.68773632886502,0.00973079163124795,0.0285191674232669,-3.51666865367259,"AAMDC"
"201511_at",0.196409116666665,8.57449652,4.02641907869151,0.000191267380535249,0.00109173225944609,0.163187982043544,"AAMP"
"207225_at",0.00782609999999995,4.88253826,0.200575861137003,0.841839886182036,0.890008928395611,-6.90337062028589,"AANAT"
"218089_at",-0.0544479666666682,8.07543742,-1.43643170550514,0.157076829676952,0.26138025507367,-5.90250058235766,"AAR2"
"201000_at",0.469785516666661,9.33983046,5.83512862880155,3.88506071055702e-07,5.79844660504635e-06,6.1691265472792,"AARS"
"222064_s_at",0.233904466666664,6.54191698,3.19870982651402,0.00239114972844074,0.00897003188532744,-2.22407878876532,"AARSD1 /// PTGES3L /// PTGES3L-AARSD1"
"202170_s_at",0.366260866666666,6.80211222,3.59688476483582,0.000734329560463478,0.00337452373598838,-1.11565069998387,"AASDHPPT"
"210852_s_at",-0.299092750000002,5.3369955,-2.97267863529065,0.00452324142301976,0.0152414015770678,-2.81526006745495,"AASS"
"209165_at",0.290275199999996,8.36825022,3.79931044571926,0.000392862997821244,0.00199456964694709,-0.522803405152747,"AATF"
"205986_at",-0.300061883333337,7.70374372,-5.24594406135855,3.12727271131324e-06,3.32448590584737e-05,4.13490801507149,"AATK"
"206527_at",0.0969218666666629,5.90841142,2.05829388160467,0.0447663762557572,0.0976724921283696,-4.87000361960871,"ABAT"
"203504_s_at",-0.955012216666671,7.66224382,-5.39053927349534,1.88202879295585e-06,2.18576325902262e-05,4.62930966491486,"ABCA1"
"220159_at",-0.0260557833333381,5.04558368,-0.553136191928411,0.582622943097078,0.687273003760306,-6.76961326411007,"ABCA11P"
"215465_at",0.272261566666665,4.22241514,3.1183671277708,0.00300786960417705,0.010912464732966,-2.4375635682154,"ABCA12"
"210099_at",0.0313013999999967,5.07153864,0.790917782272364,0.432709387230424,0.554811167251024,-6.60968080634646,"ABCA2"
"204343_at",-1.54122823333333,8.99831346,-6.36593653081123,5.77778924938738e-08,1.17042252585545e-06,8.03468520463013,"ABCA3"
"210082_at",0.555256883333333,6.42982108,3.16768723191299,0.00261363433482865,0.00967917797623181,-2.30693877839253,"ABCA4"
"213353_at",-0.102932750000004,5.6940862,-1.12245220307598,0.267005182337064,0.388918582691646,-6.29521839684613,"ABCA5"
"217504_at",-0.540259316666668,5.08572386,-7.47280478147187,1.06459746165573e-09,3.9603381031844e-08,11.9567786365071,"ABCA6"
"219577_s_at",0.225716799999998,7.05213088,2.15649192957916,0.0358554519550783,0.0819537425289783,-4.67809258006245,"ABCA7"
"204719_at",-2.4997898,6.50912012,-12.5680112693854,3.94371305076947e-17,3.9944435413771e-14,28.7482452555937,"ABCA8"
"209993_at",-0.285989366666666,4.71615888,-4.40258478720883,5.59569813998595e-05,0.000387353034027049,1.34210045839486,"ABCB1"
"209994_s_at",-0.102546933333334,5.07921174,-1.37979946679762,0.173757672013408,0.282574967557639,-5.97997181652997,"ABCB1 /// ABCB4"
"211224_s_at",0.0774198166666666,4.81170884,2.22810078131553,0.0303787162133197,0.0717024870257326,-4.53347986682568,"ABCB11"
"207819_s_at",0.131472483333332,5.24310884,2.23253620456901,0.0300652160479171,0.0711418932988995,-4.52439511289587,"ABCB4"
"203192_at",0.573196766666662,7.16529086,6.41183069283615,4.89677213051516e-08,1.0121964135832e-06,8.19687438974255,"ABCB6"
"209620_s_at",0.139286766666659,6.63124056,1.81043976060477,0.0762090015325859,0.148566854266319,-5.32034022035274,"ABCB7"
"206317_s_at",0.21068521666666,6.30177088,4.00892341409626,0.000202301207766737,0.0011452941597221,0.109606505753396,"ABCB8"
"207561_s_at",0.0237136833333347,5.32047536,0.462201172742612,0.645932213749364,0.740815663131252,-6.81600772746832,"ABCB8 /// ASIC3"
"207321_s_at",0.206660666666663,6.050534,4.88686754494463,1.0874134262466e-05,9.71954808546052e-05,2.92464430882194,"ABCB9"
"202804_at",0.0469219333333282,8.60815376,0.643487043033748,0.52283428310727,0.636803297648499,-6.71539505122566,"ABCC1"
"215873_x_at",0.230947583333329,8.0032877,4.18294416434094,0.000115292421717246,0.000713231824854357,0.647684160563998,"ABCC10"
"206155_at",0.220220033333332,5.82363902,1.30143620780022,0.199044867460171,0.313219346868566,-6.08239791856628,"ABCC2"
"208161_s_at",1.7626081,8.88426566,8.92600069424863,6.0971587120623e-12,4.88715782665051e-10,17.0351546627689,"ABCC3"
"203196_at",-0.0623723499999986,6.97382914,-0.399309331001839,0.691357471036704,0.775940290476019,-6.84327337417173,"ABCC4"
"209380_s_at",0.157003033333332,8.32795232,1.63572400227331,0.108146993529218,0.194923518305555,-5.60729915711567,"ABCC5"
"214033_at",0.394281150000002,6.90109984,2.1057135288744,0.0402475759624363,0.0897016138398649,-4.77826360022305,"ABCC6 /// ABCC6P1 /// ABCC6P2 /// LOC101930322"
"208480_s_at",0.0845051499999983,5.96705614,1.27721474113658,0.207396767651358,0.323131182602099,-6.11292642106754,"ABCC6 /// LOC101930322"
"210245_at",0.106984716666668,5.20622848,2.184011059274,0.0336556836851997,0.0778445080001376,-4.6229788054512,"ABCC8"
"208561_at",-0.281892133333335,4.40949972,-6.51081569758411,3.42643640063939e-08,7.47899409249618e-07,8.54700827714561,"ABCC9"
"205142_x_at",0.145877383333334,7.50266638,2.47318601379504,0.0168161729971463,0.0444501521821366,-4.00981439323349,"ABCD1"
"216418_at",0.048228983333332,6.22948414,1.40991566941558,0.164724656513203,0.271090068026861,-5.93913186175211,"ABCD1P2 /// ABCD1P2"
"207583_at",0.016632749999999,3.9418971,0.531908603373218,0.597133347836701,0.699097482784911,-6.78117897065831,"ABCD2"
"202850_at",0.153022733333332,8.32246244,1.14862736756857,0.256148364366414,0.377746790415407,-6.26595021244652,"ABCD3"
"203982_s_at",0.0825625333333289,5.90791282,1.48816281480514,0.142957417696232,0.242815048596911,-5.82923112436504,"ABCD4"
"201872_s_at",0.386222716666664,7.35918998,3.29710861670164,0.00179785097395779,0.00707425626923919,-1.95778105525214,"ABCE1"
"200045_at",0.296896649999997,8.74804284,3.75722445258874,0.000448005092516503,0.00222484900301877,-0.647563331024239,"ABCF1"
"209247_s_at",0.453249899999999,7.86789414,5.21089251397389,3.53526258153974e-06,3.68630117475199e-05,4.01561969366657,"ABCF2"
"202394_s_at",0.145356749999995,7.3119781,3.16011350531213,0.00267083733497455,0.0098641561801393,-2.32708662644924,"ABCF3"
"211113_s_at",-0.23881206666667,7.05477806,-2.49097136550328,0.0160869843980034,0.0428582344979328,-3.9701354725057,"ABCG1"
"209735_at",-0.512118500000001,5.578388,-4.90752142976418,1.01284822218885e-05,9.14106801742975e-05,2.99349935405591,"ABCG2"
"207593_at",0.068658783333329,6.13271432,1.36287305834933,0.178999314955163,0.289493521203796,-6.00256681224063,"ABCG4"
"220383_at",0.041026316666664,4.62590954,1.12211474618971,0.267147248946836,0.389041761301381,-6.29559154476801,"ABCG5"
"218633_x_at",-0.00867228333333259,7.81044148,-0.122408068860567,0.903064120045413,0.933954227558337,-6.91611601897441,"ABHD10"
"221927_s_at",0.926432433333335,8.28033056,6.5107821355129,3.42685139722596e-08,7.47899409249618e-07,8.54688949274779,"ABHD11"
"210006_at",0.317814116666667,7.48853182,3.83842694331483,0.00034751070118172,0.00180850975039162,-0.406164514795396,"ABHD14A /// ACY1"
"202740_at",0.458990116666665,7.71571652,5.14979217493018,4.37573095016084e-06,4.43201876192881e-05,3.80823741063987,"ABHD14A-ACY1 /// ACY1"
"221267_s_at",-0.434118883333337,9.02168392,-5.14863407350726,4.3934302268527e-06,4.44590398478468e-05,3.80431365841265,"ABHD17A"
"220285_at",0.00214013333332996,6.36789398,0.0335512150762968,0.973367950617288,0.981072826289353,-6.92311471870133,"ABHD17B"
"87100_at",-0.175802183333338,5.99835654,-1.27474726747954,0.20826207653624,0.324097371718124,-6.11600627211096,"ABHD2"
"213017_at",0.038818166666668,7.6051253,0.496345606110098,0.621815007675102,0.720423429315463,-6.79955202210335,"ABHD3"
"218581_at",0.177435583333333,8.2352697,2.41180996327209,0.0195676155945458,0.0503612916412388,-4.14503051923416,"ABHD4"
"213805_at",-0.532399583333336,4.7791544,-4.58908781972299,2.99744907346829e-05,0.000231274784293954,1.94382061450801,"ABHD5"
"45288_at",-0.552323850000005,5.89030494,-8.79565460960391,9.62085283289913e-12,7.05578934573585e-10,16.586494479935,"ABHD6"
"219101_x_at",0.113358516666665,6.15158866,2.50170060346883,0.015661056065228,0.0419634065901481,-3.94609172556184,"ABHD8"
"209028_s_at",-0.348482116666667,7.20703158,-2.89901422284228,0.00553680744515039,0.0179587598690373,-3.00144158214256,"ABI1"
"207268_x_at",0.115903833333332,8.1733775,2.13584787768997,0.037587597985052,0.0850405570008035,-4.71905689935742,"ABI2"
"220518_at",-0.323027466666665,5.36557982,-6.34185871962491,6.30151212877486e-08,1.25483998896774e-06,7.94963701340515,"ABI3BP"
"202123_s_at",-0.245634200000008,8.78920238,-3.14922858349617,0.00275511581751336,0.0101173773503049,-2.35598682528065,"ABL1"
"206411_s_at",-0.0458490500000028,6.30067912,-0.824737177018854,0.413418959691208,0.537437411982917,-6.58243874900299,"ABL2"
"200965_s_at",-0.524249783333339,9.11375238,-2.9430202678387,0.00490851425971912,0.0162667987102289,-2.89061459355898,"ABLIM1"
"205730_s_at",-0.834906049999999,6.77960282,-8.45776000218584,3.16133363478271e-11,1.96222833938337e-09,15.4161380502475,"ABLIM3"
"216929_x_at",0.153542233333329,5.14056534,1.99278750862576,0.0517299415415901,0.109582497135778,-4.99382854850907,"ABO"
"214671_s_at",-0.199378016666668,6.98265334,-2.96137329728797,0.00466664911924511,0.0156387124293853,-2.84404648044035,"ABR"
"218405_at",0.0557005499999939,7.80053188,1.19068141481368,0.239373379882341,0.359624934190817,-6.2175888523085,"ABT1"
"213497_at",0.15425965,7.16037414,3.16655465795333,0.00262211449650592,0.00970735625945198,-2.30995372028344,"ABTB2"
"213525_at",0.0542765499999991,4.78575208,1.48730553603459,0.143182946564169,0.243070668771093,-5.8304646847485,"AC002310.7 /// ZNF785"
"216564_at",0.063717483333332,6.02889114,1.49368791950726,0.141510629091305,0.240929198352808,-5.82126531517261,"AC003989.4"
"214854_at",-0.00194735000000268,4.92964894,-0.0625991384590998,0.950334068822935,0.965543227046392,-6.92170403568753,"AC004490.1 /// AX746733"
"217313_at",0.0176107666666701,6.76460736,0.292088784242596,0.771421367389912,0.838148243675919,-6.88062635283614,"AC004692.5"
"217027_x_at",0.261889016666665,5.53725846,4.01796118074389,0.000196526715436899,0.00111799969366362,0.137270395321059,"AC004941.5"
"216003_at",0.0133974833333319,5.61633754,0.266357711095271,0.791053729888439,0.853302707151815,-6.88787311080957,"AC005838.2"
"208301_at",-0.0039545000000043,6.2512346,-0.104867442912341,0.916898488508138,0.943358067200427,-6.91812913992932,"AC007292.3"
"216849_at",0.147978766666664,7.90079366,2.6853310667101,0.0097920785664563,0.0286836974755286,-3.52236884845885,"AC007389.3"
"216842_x_at",0.0175740166666607,6.93160686,0.371138607728451,0.712094576309966,0.794123651066849,-6.8542036756731,"AC007967.3 /// RBMY2TP /// RBMY2TP"
"206659_at",0.763633066666663,6.23506374,5.48815600689609,1.33360176204909e-06,1.63278286064504e-05,4.96503613872636,"AC009237.8 /// AK055967"
"207916_at",-0.0148294666666686,4.87123722,-0.519122367030419,0.605954498237669,0.706857538695851,-6.78792953834105,"AC009947.3 /// RBMY2AP /// RBMY2AP /// RBMY2BP /// RBMY2BP /// RBMY2DP /// RBMY2DP"
"214238_at",0.0524268166666673,6.26476134,1.15060465100279,0.255341250974771,0.376955684077833,-6.26371327662456,"AC012065.7"
"216110_x_at",0.0310620666666619,6.51391614,0.514773235290126,0.608968575284072,0.709375647605989,-6.79018865745895,"AC068039.4"
"217062_at",0.05203355,5.89311928,1.22128183495946,0.227678754301564,0.346375754905561,-6.18136702626059,"AC074212.6"
"216991_at",0.0456217166666626,4.97417668,0.999120541369276,0.322523635642681,0.447385095432386,-6.42445205679794,"AC084219.3"
"217327_at",-0.00575460000000394,4.75675234,-0.178202245016772,0.859280664977743,0.903347379585726,-6.907648145539,"AC104537.2 /// TCEB1P28"
"217480_x_at",0.344005933333333,9.03159636,1.05909241631665,0.29462247268249,0.418797688108187,-6.36340417469399,"AC128677.4 /// CH17-132F21.1 /// IGKV1OR-1 /// IGKV1OR-1 /// IGKV1OR10-1 /// IGKV1OR10-1 /// IGKV1OR2-2"
"202025_x_at",0.0417219999999965,8.5620175,0.768046290718517,0.44605427087172,0.567416071121455,-6.62747363982974,"ACAA1"
"202003_s_at",-0.395390666666671,8.5465695,-3.52285841783668,0.000919314799321261,0.00405163996702446,-1.32773817295387,"ACAA2"
"214358_at",0.332667066666667,6.79983364,3.72018437929388,0.000502626518131934,0.00245722393671213,-0.7567246929731,"ACACA"
"43427_at",-0.517589683333332,7.31437574,-6.33071100699931,6.55976529618623e-08,1.29617227392548e-06,7.91027119901984,"ACACB"
"219986_s_at",0.149897483333329,6.72337214,3.21116083391276,0.0023069781109338,0.00869526272766203,-2.19067321354815,"ACAD10"
"221669_s_at",1.07787943333333,7.14170816,5.54301540971873,1.09830242634251e-06,1.3952949239561e-05,5.15434629451007,"ACAD8"
"206069_s_at",-1.14609613333333,5.62505992,-8.88207347587993,7.10893002800989e-12,5.46938747395598e-10,16.884137976405,"ACADL"
"202502_at",0.0622971833333272,7.79209356,0.540154336108793,0.591476760548923,0.694738108445082,-6.77673946171768,"ACADM"
